clx,pred_sr,prob
1,ikik,0.7628
1,iki,0.052533333333333335
1,kik,0.047066666666666666
1,ikk,0.0448
1,icik,0.013066666666666667
1,iktk,0.0088
1,ikit,0.008666666666666666
1,tkik,0.008
1,iik,0.007466666666666667
1,ikak,0.005066666666666666
1,ikkk,0.0044
1,kkik,0.0041333333333333335
1,akik,0.004
1,kk,0.0036
1,ki,0.0030666666666666668
1,ik,0.002533333333333333
1,itkik,0.0018666666666666666
1,ikikt,0.0012
1,ii,0.0010666666666666667
1,ici,0.0010666666666666667
1,tkk,0.0010666666666666667
1,ikcik,0.0010666666666666667
1,tki,0.0006666666666666666
1,ika,0.0006666666666666666
1,cikik,0.0006666666666666666
1,ikt,0.0006666666666666666
1,cik,0.0005333333333333334
1,kit,0.0005333333333333334
1,akk,0.0005333333333333334
1,ikia,0.0005333333333333334
1,ktk,0.0004
1,itk,0.0004
1,ikiki,0.0004
1,ikikk,0.0004
1,ikitk,0.0004
1,aki,0.0004
1,ikck,0.0004
1,itik,0.0004
1,ikika,0.0002666666666666667
1,k,0.0002666666666666667
1,ikii,0.0002666666666666667
1,ikkik,0.0002666666666666667
1,kkk,0.0002666666666666667
1,ci,0.0002666666666666667
1,kia,0.0002666666666666667
1,kki,0.00013333333333333334
1,ittk,0.00013333333333333334
1,iktt,0.00013333333333333334
1,iit,0.00013333333333333334
1,kikt,0.00013333333333333334
1,i,0.00013333333333333334
1,kii,0.00013333333333333334
1,kkit,0.00013333333333333334
1,iakk,0.00013333333333333334
1,iikt,0.00013333333333333334
1,ckik,0.00013333333333333334
1,tktk,0.00013333333333333334
1,itak,0.00013333333333333334
1,tkkk,0.00013333333333333334
1,iia,0.00013333333333333334
1,ikkt,0.00013333333333333334
1,kak,0.00013333333333333334
1,itcik,0.00013333333333333334
1,tk,0.00013333333333333334
1,iciki,0.00013333333333333334
1,tkit,0.00013333333333333334
1-A,ikika,0.758
1-A,ika,0.049466666666666666
1-A,kika,0.0476
1-A,ikka,0.045733333333333334
1-A,icika,0.012933333333333333
1-A,ikia,0.008933333333333333
1-A,iktka,0.0088
1-A,ikita,0.008533333333333334
1-A,tkika,0.007866666666666666
1-A,iika,0.007733333333333333
1-A,ikaka,0.005066666666666666
1-A,kkika,0.0044
1-A,ikkka,0.0044
1-A,akika,0.004
1-A,kka,0.0037333333333333333
1-A,ka,0.0029333333333333334
1-A,itkika,0.002
1-A,ikikta,0.0012
1-A,tkka,0.0010666666666666667
1-A,ikcika,0.0010666666666666667
1-A,ia,0.0008
1-A,ita,0.0008
1-A,cika,0.0008
1-A,tka,0.0006666666666666666
1-A,cikika,0.0006666666666666666
1-A,kita,0.0006666666666666666
1-A,kia,0.0006666666666666666
1-A,ikta,0.0006666666666666666
1-A,ikkika,0.0005333333333333334
1-A,akka,0.0005333333333333334
1-A,ikikka,0.0005333333333333334
1-A,ikitka,0.0005333333333333334
1-A,ktka,0.0004
1-A,itka,0.0004
1-A,iia,0.0004
1-A,aka,0.0004
1-A,ikcka,0.0004
1-A,itika,0.0004
1-A,tkkka,0.0002666666666666667
1-A,kkka,0.0002666666666666667
1-A,ta,0.0002666666666666667
1-A,ikiki,0.0002666666666666667
1-A,icia,0.0002666666666666667
1-A,kkia,0.00013333333333333334
1-A,ittka,0.00013333333333333334
1-A,iktta,0.00013333333333333334
1-A,ikaa,0.00013333333333333334
1-A,iita,0.00013333333333333334
1-A,ikikk,0.00013333333333333334
1-A,kikta,0.00013333333333333334
1-A,ikitk,0.00013333333333333334
1-A,a,0.00013333333333333334
1-A,kkita,0.00013333333333333334
1-A,iakka,0.00013333333333333334
1-A,iikta,0.00013333333333333334
1-A,ckika,0.00013333333333333334
1-A,tktka,0.00013333333333333334
1-A,itaka,0.00013333333333333334
1-A,ikkta,0.00013333333333333334
1-A,kaka,0.00013333333333333334
1-A,ikica,0.00013333333333333334
1-A,itcika,0.00013333333333333334
1-A,tkia,0.00013333333333333334
1-A,kiaa,0.00013333333333333334
1-A,tkita,0.00013333333333333334
1-B,ikiki,0.7570666666666667
1-B,iki,0.049466666666666666
1-B,kiki,0.0476
1-B,ikki,0.0456
1-B,iciki,0.0132
1-B,ikici,0.008933333333333333
1-B,ikii,0.0088
1-B,iktki,0.008666666666666666
1-B,iiki,0.008133333333333333
1-B,tkiki,0.008
1-B,ikaki,0.004933333333333333
1-B,ikkki,0.0044
1-B,kkiki,0.004266666666666667
1-B,akiki,0.004
