1,ikik,1
1:A,,1
1:B,,1
1:A:B,,1
2,ikik,1
2:A,,1
2:B,,1
2:A:B,,1
3,ikik,1
3:A,,1
3:B,,1
3:A:B,,1
4,ikik,1
4:A,,1
4:B,,1
4:A:B,,1
5,ikik,1
5:A,,1
5:B,,1
5:A:B,,1
6,ikik,1
6:A,,1
6:B,,1
6:A:B,,1
7,ikik,1
7:A,,1
7:B,,1
7:A:B,,1
8,ikik,1
8:A,,1
8:B,,1
8:A:B,,1
9,ikik,1
9:A,,1
9:B,,1
9:A:B,,1
10,ikik,1
10:A,,1
10:B,,1
10:A:B,,1
11,ikik,1
11:A,,1
11:B,,1
11:A:B,,1
12,ikik,1
12:A,,1
12:B,,1
12:A:B,,1
13,ikik,1
13:A,,1
13:B,,1
13:A:B,,1
14,ikik,1
14:A,,1
14:B,,1
14:A:B,,1
15,ikik,1
15:A,,1
15:B,,1
15:A:B,,1
16,ikik,1
16:A,,1
16:B,,1
16:A:B,,1
17,ikik,1
17:A,,1
17:B,,1
17:A:B,,1
18,ikik,1
18:A,,1
18:B,,1
18:A:B,,1
19,ikak,1
19:A,ikaka,1
19:B,ikaki,1
19:A:B,ikaki,1
20,ikak,1
20:A,ikaka,1
20:B,ikaki,1
20:A:B,ikaki,1
21,ikak,1
21:A,ikaka,1
21:B,ikaki,1
21:A:B,ikaki,1
22,ikak,1
22:A,ikaka,1
22:B,ikaki,1
22:A:B,ikaki,1
23,ikak,1
23:A,ikaka,1
23:B,ikaki,1
23:A:B,ikaki,1
24,ikak,1
24:A,ikaka,1
24:B,ikaki,1
24:A:B,ikaki,1
25,ikak,1
25:A,ikaka,1
25:B,ikaki,1
25:A:B,ikaki,1
26,ikak,1
26:A,ikaka,1
26:B,ikaki,1
26:A:B,ikaki,1
27,ikak,1
27:A,ikaka,1
27:B,ikaki,1
27:A:B,ikaki,1
28,ikak,1
28:A,ikaka,1
28:B,ikaki,1
28:A:B,ikaki,1
29,ikak,1
29:A,ikaka,1
29:B,ikaki,1
29:A:B,ikaki,1
30,ikak,1
30:A,ikaka,1
30:B,ikaki,1
30:A:B,ikaki,1
31,ikak,1
31:A,ikaka,1
31:B,ikaki,1
31:A:B,ikaki,1
32,ikak,1
32:A,ikaka,1
32:B,ikaki,1
32:A:B,ikaki,1
33,ikak,1
33:A,ikaka,1
33:B,ikaki,1
33:A:B,ikaki,1
34,ikak,1
34:A,ikaka,1
34:B,ikaki,1
34:A:B,ikaki,1
35,ikak,1
35:A,ikaka,1
35:B,ikaki,1
35:A:B,ikaki,1
36,ikak,1
36:A,ikaka,1
36:B,ikaki,1
36:A:B,ikaki,1
37,ikit,1
37:A,,1
37:B,,1
37:A:B,,1
38,ikit,1
38:A,,1
38:B,,1
38:A:B,,1
39,ikit,1
39:A,,1
39:B,,1
39:A:B,,1
40,ikit,1
40:A,,1
40:B,,1
40:A:B,,1
41,ikit,1
41:A,,1
41:B,,1
41:A:B,,1
42,ikit,1
42:A,,1
42:B,,1
42:A:B,,1
43,ikit,1
43:A,,1
43:B,,1
43:A:B,,1
44,ikit,1
44:A,,1
44:B,,1
44:A:B,,1
45,ikit,1
45:A,,1
45:B,,1
45:A:B,,1
46,ikit,1
46:A,,1
46:B,,1
46:A:B,,1
47,ikit,1
47:A,,1
47:B,,1
47:A:B,,1
48,ikit,1
48:A,,1
48:B,,1
48:A:B,,1
49,ikit,1
49:A,,1
49:B,,1
49:A:B,,1
50,ikit,1
50:A,,1
50:B,,1
50:A:B,,1
51,ikit,1
51:A,,1
51:B,,1
51:A:B,,1
52,ikit,1
52:A,,1
52:B,,1
52:A:B,,1
53,ikit,1
53:A,,1
53:B,,1
53:A:B,,1
54,ikit,1
54:A,,1
54:B,,1
54:A:B,,1
55,ikat,1
55:A,ikata,1
55:B,ikaci,1
55:A:B,ikati,1
56,ikat,1
56:A,ikata,1
56:B,ikaci,1
56:A:B,ikati,1
57,ikat,1
57:A,ikata,1
57:B,ikaci,1
57:A:B,ikati,1
58,ikat,1
58:A,ikata,1
58:B,ikaci,1
58:A:B,ikati,1
59,ikat,1
59:A,ikata,1
59:B,ikaci,1
59:A:B,ikati,1
60,ikat,1
60:A,ikata,1
60:B,ikaci,1
60:A:B,ikati,1
61,ikat,1
61:A,ikata,1
61:B,ikaci,1
61:A:B,ikati,1
62,ikat,1
62:A,ikata,1
62:B,ikaci,1
62:A:B,ikati,1
63,ikat,1
63:A,ikata,1
63:B,ikaci,1
63:A:B,ikati,1
64,ikat,1
64:A,ikata,1
64:B,ikaci,1
64:A:B,ikati,1
65,ikat,1
65:A,ikata,1
65:B,ikaci,1
65:A:B,ikati,1
66,ikat,1
66:A,ikata,1
66:B,ikaci,1
66:A:B,ikati,1
67,ikat,1
67:A,ikata,1
67:B,ikaci,1
67:A:B,ikati,1
68,ikat,1
68:A,ikata,1
68:B,ikaci,1
68:A:B,ikati,1
69,ikat,1
69:A,ikata,1
69:B,ikaci,1
69:A:B,ikati,1
70,ikat,1
70:A,ikata,1
70:B,ikaci,1
70:A:B,ikati,1
71,ikat,1
71:A,ikata,1
71:B,ikaci,1
71:A:B,ikati,1
72,ikat,1
72:A,ikata,1
72:B,ikaci,1
72:A:B,ikati,1
