clx,pred_sr,prob
1,tak,0.9996
1,tag,0.0004
1-A,tagata,0.93
1-A,tagaa,0.0232
1-A,tagat,0.0228
1-A,tagta,0.0224
1-A,taga,0.0016
2,ta,0.5256
2,t,0.3988
2,tk,0.0524
2,tak,0.0224
2,tat,0.0004
2,taa,0.0004
2-A,taada,0.5004
2-A,tada,0.4288
2-A,tgada,0.0404
2-A,takta,0.016
2-A,taaa,0.0096
2-A,taata,0.0024
2-A,tkada,0.0016
2-A,tgata,0.0004
2-A,tata,0.0004
3,t,0.9208
3,tt,0.038
3,at,0.0224
3,ta,0.0164
3,gt,0.0004
3,tk,0.0004
3,kt,0.0004
3,k,0.0004
3,tat,0.0004
3,a,0.0004
3-A,tada,0.9968
3-A,tata,0.0032
4,tat,0.9992
4,tad,0.0008
4-A,tadata,0.9852
4-A,tadta,0.0144
4-A,tadkta,0.0004
5,k,0.9964
5,,0.0016
5,kt,0.0008
5,kk,0.0004
5,ak,0.0004
5,t,0.0004
5-A,kada,0.9676
5-A,kaga,0.0264
5-A,kata,0.0032
5-A,katga,0.0028
6,k,0.8952
6,,0.1032
6,t,0.0008
6,kk,0.0004
6,kt,0.0004
6-A,kada,0.8968
6-A,ada,0.1
6-A,kata,0.0032
7,k,0.9952
7,,0.0032
7,a,0.0004
7,kk,0.0004
7,dk,0.0004
7,gk,0.0004
7-A,kada,0.996
7-A,kata,0.0032
7-A,katt,0.0004
7-A,kaada,0.0004
8,k,0.9972
8,,0.0016
8,a,0.0004
8,ak,0.0004
8,t,0.0004
8-A,kada,0.9956
8-A,kata,0.0032
8-A,katk,0.0008
8-A,katt,0.0004
