clx,pred_sr,prob
1,tak,0.8644
1,tk,0.0148
1,ak,0.012
1,ta,0.0096
1,dak,0.0076
1,tat,0.0068
1,tdk,0.0056
1,tkk,0.0056
1,kak,0.0056
1,gak,0.0056
1,ttk,0.0056
1,aak,0.0048
1,takk,0.004
1,tgk,0.004
1,tgak,0.0036
1,gtak,0.0036
1,tagk,0.0036
1,tatk,0.0036
1,atak,0.0032
1,tdak,0.0028
1,ktak,0.0024
1,takt,0.0024
1,taa,0.0024
1,taak,0.002
1,ttak,0.002
1,tadk,0.002
1,tkak,0.002
1,dtak,0.0016
1,taka,0.0008
1,agk,0.0004
1,takg,0.0004
1,datk,0.0004
1,a,0.0004
1,kaa,0.0004
1,takgk,0.0004
1,dat,0.0004
1,gtdak,0.0004
1,dtgk,0.0004
1,takd,0.0004
1,gkk,0.0004
1,tktk,0.0004
1,gtat,0.0004
1,dtk,0.0004
1,tkkk,0.0004
1-A,taga,0.7872
1-A,tga,0.0168
1-A,taa,0.0132
1-A,tagt,0.0132
1-A,aga,0.012
1-A,tagk,0.0108
1-A,daga,0.0076
1-A,taka,0.0076
1-A,taaa,0.0076
1-A,tdga,0.0072
1-A,tgga,0.0072
1-A,kaga,0.0068
1-A,tagak,0.006
1-A,gaga,0.006
1-A,tada,0.0056
1-A,aaga,0.0056
1-A,tata,0.0052
1-A,ttga,0.0052
1-A,tkga,0.0052
1-A,tgaga,0.0044
1-A,tadga,0.004
1-A,ttaga,0.004
1-A,tagga,0.0036
1-A,dtaga,0.0032
1-A,tdaga,0.0032
1-A,tagda,0.0028
1-A,tagat,0.0028
1-A,tatga,0.0024
1-A,taaga,0.0024
1-A,tagaa,0.002
1-A,ktaga,0.002
1-A,tagka,0.002
1-A,tkaga,0.002
1-A,gtaga,0.0016
1-A,tagta,0.0016
1-A,ataga,0.0016
1-A,tag,0.0012
1-A,takga,0.0012
1-A,tadgta,0.0008
1-A,tagg,0.0008
1-A,gtaka,0.0008
1-A,ga,0.0004
1-A,ttgat,0.0004
1-A,tkagk,0.0004
1-A,tadgda,0.0004
1-A,ttaaa,0.0004
1-A,kga,0.0004
1-A,agt,0.0004
1-A,tagd,0.0004
1-A,kata,0.0004
1-A,dtagat,0.0004
1-A,adga,0.0004
1-A,aaaa,0.0004
1-A,tkgaa,0.0004
1-A,dagk,0.0004
1-A,tkka,0.0004
1-A,gadga,0.0004
1-A,tgdga,0.0004
1-A,gtagga,0.0004
1-A,kgtaga,0.0004
1-A,agtaga,0.0004
1-A,ttagk,0.0004
1-A,takta,0.0004
1-A,takaga,0.0004
1-A,tkgak,0.0004
1-A,aagt,0.0004
1-A,gtagk,0.0004
1-A,tadk,0.0004
1-A,tgk,0.0004
1-A,tak,0.0004
1-A,tadak,0.0004
1-A,agak,0.0004
1-A,tdgt,0.0004
1-A,ttgka,0.0004
1-A,ggga,0.0004
2,tak,0.868
2,tk,0.014
2,ak,0.0132
2,gak,0.0092
2,tgk,0.0084
2,ta,0.008
2,aak,0.0072
2,tdk,0.0064
2,tkk,0.0064
2,ttk,0.006
2,kak,0.004
2,dak,0.004
2,tat,0.004
2,taak,0.0036
2,tkak,0.0032
2,ktak,0.0032
2,taa,0.0028
2,takk,0.0028
2,tgak,0.0028
2,gtak,0.0028
2,tatk,0.0024
2,tadk,0.002
2,ttak,0.002
2,tagk,0.0016
2,tdak,0.0016
2,takt,0.0012
2,atak,0.0012
2,dtak,0.0008
2,ktk,0.0008
2,taka,0.0008
2,tada,0.0004
2,takd,0.0004
2,kk,0.0004
2,kadk,0.0004
2,ata,0.0004
2,k,0.0004
2,tagt,0.0004
2,tad,0.0004
2,ktkk,0.0004
2,daa,0.0004
2,dkak,0.0004
2,gtk,0.0004
2,atatk,0.0004
2,tag,0.0004
2-A,taka,0.7952
2-A,tak,0.0164
2-A,aka,0.0156
2-A,taa,0.012
2-A,taga,0.012
2-A,tada,0.01
2-A,tka,0.0084
2-A,takt,0.0084
2-A,takk,0.0076
2-A,ttka,0.0076
2-A,gaka,0.0072
2-A,tgka,0.0068
2-A,taaa,0.0068
2-A,kaka,0.006
2-A,takat,0.0052
2-A,tkka,0.0048
2-A,tdka,0.004
2-A,tata,0.0036
2-A,daka,0.0036
2-A,aaka,0.0032
2-A,taaka,0.0032
2-A,takak,0.0032
2-A,tatka,0.0028
2-A,dtaka,0.0028
2-A,gtaka,0.0028
2-A,tdaka,0.0028
2-A,takda,0.0024
2-A,takta,0.0024
2-A,ttaka,0.0024
2-A,ataka,0.002
2-A,ktaka,0.002
2-A,tkaka,0.0016
2-A,tagka,0.0016
2-A,tadka,0.0016
2-A,gak,0.0012
2-A,tgaka,0.0012
2-A,takga,0.0012
2-A,takaa,0.0012
2-A,tkkat,0.0008
2-A,dtakk,0.0008
2-A,tat,0.0008
2-A,dakk,0.0008
2-A,tdk,0.0004
2-A,ttkat,0.0004
2-A,ttga,0.0004
2-A,kdka,0.0004
2-A,dak,0.0004
2-A,ttk,0.0004
2-A,ttkka,0.0004
2-A,ttakaa,0.0004
2-A,akka,0.0004
2-A,takd,0.0004
2-A,ttkga,0.0004
2-A,atada,0.0004
2-A,gakak,0.0004
2-A,takka,0.0004
2-A,atkka,0.0004
2-A,dada,0.0004
2-A,akk,0.0004
2-A,ttakda,0.0004
2-A,kaaa,0.0004
2-A,gtakta,0.0004
2-A,aakka,0.0004
2-A,dadka,0.0004
2-A,data,0.0004
2-A,gtaa,0.0004
2-A,tkk,0.0004
