palatalization,+cor:+cons,+dist,_.+hi:-cons
depalatalization,+dist,-dist,_.(#)|(+cons)
insertion,*,+hi:-cons,_.-cons
deletion,-cons,*,_.-cons
generalized palatalization,+cor:+cons,+dist,_
generalized depalatalization,+dist,-dist,_
