eiRaise,-cons:-hi:-lo,+hi,-cons:+hi.+cons._
ieLower,-cons:+hi,-hi,-cons:-hi:-lo.+cons._
aeRaise,-cons:+lo,-lo,-cons:-hi:-lo.+cons._
eaLower,-cons:-hi:-lo,+lo,-cons:+lo.+cons._
