clx,pred_sr,prob
1,tak,0.4388
1,tk,0.0724
1,ak,0.0716
1,ta,0.0428
1,tkk,0.0212
1,tat,0.0208
1,kak,0.0208
1,aak,0.018
1,tdk,0.0172
1,tgk,0.0164
1,ttk,0.016
1,k,0.0156
1,gak,0.0152
1,t,0.0152
1,dak,0.012
1,taa,0.008
1,gtak,0.0072
1,taak,0.0068
1,tkak,0.0064
1,a,0.0064
1,tadk,0.006
1,takt,0.006
1,tagk,0.006
1,tdak,0.0056
1,takk,0.0056
1,tgak,0.0052
1,ktak,0.0048
1,tt,0.0048
1,dtak,0.0048
1,kk,0.0048
1,tatk,0.0044
1,at,0.0044
1,gk,0.0044
1,aa,0.0036
1,da,0.0032
1,dk,0.0032
1,ttak,0.0032
1,tgt,0.0024
1,,0.0024
1,ddk,0.002
1,gkk,0.002
1,tag,0.002
1,taka,0.0016
1,tga,0.0016
1,gat,0.0016
1,atak,0.0016
1,dtk,0.0012
1,tad,0.0012
1,td,0.0012
1,akk,0.0012
1,ggak,0.0012
1,tagt,0.0012
1,gdk,0.0012
1,dagk,0.0008
1,kkk,0.0008
1,ga,0.0008
1,aat,0.0008
1,dkk,0.0008
1,tkd,0.0008
1,ka,0.0008
1,dt,0.0008
1,aaa,0.0008
1,tta,0.0008
1,gt,0.0008
1,tdtk,0.0008
1,ttt,0.0008
1,tdt,0.0008
1,gaak,0.0008
1,gaa,0.0008
1,ggk,0.0008
1,takd,0.0008
1,kaa,0.0008
1,akt,0.0008
1,kdk,0.0008
1,tdkt,0.0008
1,agk,0.0008
1,atkak,0.0004
1,gtakk,0.0004
1,aakt,0.0004
1,tdakt,0.0004
1,ttdak,0.0004
1,ktt,0.0004
1,tkaa,0.0004
1,adak,0.0004
1,tdatk,0.0004
1,akd,0.0004
1,ktaak,0.0004
1,tkdk,0.0004
1,dtdk,0.0004
1,gatk,0.0004
1,agat,0.0004
1,aadk,0.0004
1,gddak,0.0004
1,gta,0.0004
1,aagk,0.0004
1,aga,0.0004
1,ktatk,0.0004
1,ktaa,0.0004
1,kat,0.0004
1,daadk,0.0004
1,tkaak,0.0004
1,gdak,0.0004
1,atat,0.0004
1,dttk,0.0004
1,gtat,0.0004
1,agak,0.0004
1,taagk,0.0004
1,ataak,0.0004
1,gtk,0.0004
1,tdkak,0.0004
1,gdtdk,0.0004
1,tttk,0.0004
1,kaak,0.0004
1,tgtak,0.0004
1,ktk,0.0004
1,ktdk,0.0004
1,kta,0.0004
1,tadtt,0.0004
1,atk,0.0004
1,ktakk,0.0004
1,dat,0.0004
1,tkat,0.0004
1,tgtk,0.0004
1,kgk,0.0004
1,gttak,0.0004
1,taat,0.0004
1,tdkk,0.0004
1,tgg,0.0004
1,ttgk,0.0004
1,aaak,0.0004
1,dgak,0.0004
1,atkk,0.0004
1,adk,0.0004
1,ttkk,0.0004
1,takgt,0.0004
1,att,0.0004
1,tagtk,0.0004
1,kdak,0.0004
1,akdk,0.0004
1,kakt,0.0004
1,taga,0.0004
1,tkdkk,0.0004
1,dkak,0.0004
1,tada,0.0004
1-A,taga,0.3668
1-A,aga,0.0592
1-A,tga,0.0484
1-A,taa,0.044
1-A,tagt,0.0208
1-A,tada,0.02
1-A,tagk,0.0176
1-A,tgga,0.0164
1-A,tkga,0.0148
1-A,gaga,0.0144
1-A,kaga,0.0124
1-A,aaga,0.0124
1-A,tdga,0.0124
1-A,daga,0.012
1-A,taaa,0.0112
1-A,tagak,0.0112
1-A,tagat,0.0096
1-A,ttga,0.0092
1-A,ta,0.0088
1-A,taka,0.0076
1-A,gtaga,0.0072
1-A,tkaga,0.0068
1-A,tata,0.0068
1-A,tak,0.0056
1-A,tagaa,0.0048
1-A,agk,0.0048
1-A,takga,0.0048
1-A,dtaga,0.0048
1-A,ga,0.0044
1-A,tadga,0.0044
1-A,aa,0.0044
1-A,tgaga,0.0044
1-A,ktaga,0.004
1-A,tatga,0.004
1-A,tdaga,0.004
1-A,ttaga,0.004
1-A,taaga,0.004
1-A,tagda,0.0036
1-A,ada,0.0032
1-A,tagta,0.0032
1-A,tagga,0.0028
1-A,tagka,0.0028
1-A,ataga,0.0024
1-A,tatt,0.0024
1-A,tagg,0.002
1-A,gga,0.002
1-A,gagk,0.002
1-A,tta,0.002
1-A,tda,0.002
1-A,agt,0.002
1-A,takk,0.002
1-A,tgt,0.002
1-A,atga,0.002
1-A,gaa,0.002
1-A,kgaga,0.0016
1-A,taat,0.0016
1-A,agat,0.0016
1-A,tagag,0.0016
1-A,takt,0.0016
1-A,tadk,0.0016
1-A,gaaa,0.0016
1-A,dga,0.0016
1-A,tgka,0.0012
1-A,agda,0.0012
1-A,a,0.0012
1-A,tagad,0.0012
1-A,gada,0.0012
1-A,kga,0.0012
1-A,tggt,0.0012
1-A,tka,0.0012
1-A,ktaa,0.0012
1-A,agak,0.0012
1-A,kagt,0.0012
1-A,tagd,0.0012
1-A,tagtt,0.0012
