clx,pred_sr,prob
3-A,aa,0.0008
3-A,gadak,0.0004
3-A,tadad,0.0004
3-A,kaa,0.0004
3-A,gkda,0.0004
3-A,tadka,0.0004
3-A,tadda,0.0004
3-A,ktaa,0.0004
3-A,kaga,0.0004
3-A,ttgada,0.0004
3-A,tta,0.0004
3-A,tdat,0.0004
3-A,gtdda,0.0004
3-A,taddk,0.0004
3-A,adk,0.0004
3-A,taak,0.0004
3-A,gaa,0.0004
3-A,da,0.0004
3-A,tadag,0.0004
3-A,tka,0.0004
3-A,tadaa,0.0004
4,tat,0.8496
4,at,0.0272
4,tt,0.0248
4,ta,0.0148
4,tdt,0.0072
4,tgt,0.0068
4,tak,0.0068
4,kat,0.0064
4,ttt,0.006
4,dat,0.0056
4,gat,0.0048
4,aat,0.0048
4,taa,0.004
4,tkt,0.004
4,tkat,0.0024
4,atat,0.0024
4,tdat,0.0024
4,gtat,0.0024
4,tgat,0.0016
4,tata,0.0016
4,tatk,0.0016
4,t,0.0012
4,takt,0.0012
4,dtat,0.0012
4,tatt,0.0012
4,taat,0.0012
4,ttat,0.0012
4,tagt,0.0008
4,ktat,0.0008
4,ttk,0.0004
4,gatk,0.0004
4,ka,0.0004
4,gt,0.0004
4,ktt,0.0004
4,tadt,0.0004
4,kt,0.0004
4,dttat,0.0004
4,tk,0.0004
4,kgt,0.0004
4-A,tata,0.8092
4-A,tat,0.0216
4-A,taa,0.0168
4-A,tta,0.0156
4-A,ata,0.0136
4-A,tatt,0.0096
4-A,tkta,0.008
4-A,tdta,0.0076
4-A,tatk,0.0072
4-A,aata,0.0068
4-A,taaa,0.0068
4-A,data,0.0056
4-A,taga,0.0048
4-A,ttta,0.0048
4-A,tada,0.0044
4-A,tgta,0.004
4-A,taka,0.004
4-A,kata,0.004
4-A,tatak,0.0036
4-A,tatat,0.0036
4-A,gata,0.0032
4-A,tatda,0.0032
4-A,ttata,0.0028
4-A,tatta,0.002
4-A,tataa,0.002
4-A,ktata,0.002
4-A,taata,0.002
4-A,tkata,0.002
4-A,takta,0.0016
4-A,tdata,0.0016
4-A,tatga,0.0016
4-A,tatka,0.0016
4-A,at,0.0012
4-A,dtata,0.0012
4-A,tatd,0.0012
4-A,tgata,0.0012
4-A,tagta,0.0012
4-A,atata,0.0008
4-A,tadta,0.0008
4-A,tt,0.0004
4-A,gtata,0.0004
4-A,tattt,0.0004
4-A,dgata,0.0004
4-A,aaaa,0.0004
4-A,takk,0.0004
4-A,aa,0.0004
4-A,ta,0.0004
4-A,aga,0.0004
4-A,dat,0.0004
4-A,atak,0.0004
4-A,tdatta,0.0004
4-A,gagk,0.0004
5,,0.0872
5,k,0.0476
5,t,0.0424
5,a,0.0276
5,kk,0.0148
5,at,0.0144
5,tk,0.0132
5,gt,0.0132
5,dt,0.0108
5,ak,0.0108
5,tt,0.0108
5,gk,0.0104
5,dk,0.0104
5,kt,0.0088
5,aa,0.0072
5,da,0.0072
5,ga,0.0064
5,ta,0.0064
5,ka,0.006
5,ddk,0.0044
5,kat,0.004
5,dgt,0.004
5,kgt,0.0032
5,ttt,0.0032
5,kkt,0.0032
5,ggk,0.0032
5,ttk,0.0032
5,gak,0.0032
5,dgk,0.0032
5,akt,0.0032
5,aat,0.0032
5,kak,0.0028
5,agk,0.0028
5,kdk,0.0028
5,gkt,0.0028
5,ktt,0.0028
5,gtkk,0.0024
5,kda,0.0024
5,atk,0.0024
5,agt,0.0024
5,aak,0.0024
5,dat,0.0024
5,gat,0.0024
5,ggt,0.0024
5,gkk,0.0024
5,tkt,0.0024
5,ktk,0.0024
5,kkk,0.0024
5,dkk,0.002
5,gga,0.002
5,akk,0.002
5,aka,0.002
5,gtk,0.002
5,tdk,0.002
5,dtk,0.002
5,gaa,0.002
5,gdk,0.002
5,kga,0.002
5,aaak,0.002
5,dak,0.002
5,d,0.002
5,gdt,0.002
5,kka,0.002
5,tda,0.002
5,tat,0.002
5,att,0.0016
5,atkt,0.0016
5,dgat,0.0016
5,kagk,0.0016
5,kta,0.0016
5,kgk,0.0016
5,addk,0.0016
5,akdt,0.0016
5,tdt,0.0016
5,dta,0.0016
5,taat,0.0016
5,tgk,0.0016
5,aggk,0.0016
5,gka,0.0016
5,gtt,0.0016
5,katk,0.0016
5,ada,0.0016
5,ddt,0.0016
5,ata,0.0016
5,tgt,0.0016
5,adt,0.0016
5,gakk,0.0016
5,aaat,0.0016
5,kaa,0.0016
5,dga,0.0016
5,dkt,0.0016
5,kdat,0.0016
5,dakk,0.0016
5,tkk,0.0016
5,adk,0.0016
5,dda,0.0016
5,ttdt,0.0016
5,tak,0.0016
5,gda,0.0016
5,dkdt,0.0016
5,atat,0.0016
5,kdtt,0.0016
5,taagt,0.0012
5,kgttt,0.0012
5,akgk,0.0012
5,kkak,0.0012
5,kakt,0.0012
5,takt,0.0012
5,kgat,0.0012
5,kttt,0.0012
5,atgk,0.0012
5,gkdk,0.0012
5,gdaa,0.0012
5,dkggt,0.0012
5,aga,0.0012
5,akagk,0.0012
5,ttdak,0.0012
5,dtkkt,0.0012
5,dtgt,0.0012
5,gdgt,0.0012
5,ktddt,0.0012
5,gdkt,0.0012
5,kdakt,0.0012
5,kadt,0.0012
5,gkgt,0.0012
5,gatk,0.0012
5,gkkdk,0.0012
5,kgatt,0.0012
5,akgkt,0.0012
5,dgakk,0.0012
5,kgak,0.0012
5,atak,0.0012
5,akdak,0.0012
5,gdka,0.0012
5,tkkk,0.0012
5,tdgt,0.0012
5,gdtak,0.0012
5,tka,0.0012
5,gaat,0.0012
5,tkdt,0.0012
5,gakka,0.0012
5,dtdk,0.0012
5,dgdk,0.0012
5,ggdt,0.0012
5,gtdat,0.0012
5,ggktt,0.0012
5,dkgk,0.0012
5,kdt,0.0012
5,tkkt,0.0012
5,ddkk,0.0012
5,tgat,0.0012
5,taka,0.0012
5,tktdk,0.0012
5,adgk,0.0012
5,dgdt,0.0012
5,tgak,0.0012
5,g,0.0012
5,attt,0.0012
5,ggat,0.0012
5,daak,0.0012
5,gaddt,0.0012
5,tkgt,0.0012
5,adtt,0.0012
5,atkk,0.0012
5,kdtk,0.0012
5,gakt,0.0012
5,kkat,0.0012
5,aakk,0.0012
5,gtkkk,0.0012
5,dka,0.0012
5,ttdk,0.0012
5,tagt,0.0012
5,tttk,0.0012
5,kadk,0.0012
5,gkkk,0.0008
5,tadat,0.0008
5,gatat,0.0008
5,takk,0.0008
5,kddt,0.0008
5,adddt,0.0008
5,kgdt,0.0008
5,ktagt,0.0008
5,tkdk,0.0008
5,katkk,0.0008
5,tkddt,0.0008
5,tgtkt,0.0008
5,aatak,0.0008
5,tgkt,0.0008
5,gktak,0.0008
5,ttgdt,0.0008
5,tta,0.0008
5,adaa,0.0008
5,kdgk,0.0008
5,ttkk,0.0008
5,ktak,0.0008
5,tkgta,0.0008
5,katgt,0.0008
5,takgt,0.0008
5,dggt,0.0008
5,aaka,0.0008
5,gtdt,0.0008
5,gta,0.0008
5,dggk,0.0008
5,gaga,0.0008
5,daa,0.0008
5,ttak,0.0008
5,kdkk,0.0008
5,kaga,0.0008
5,dtda,0.0008
5,ddaa,0.0008
5,akak,0.0008
5,gkat,0.0008
5,aaata,0.0008
5,aktaa,0.0008
5,dgta,0.0008
5,tgtk,0.0008
5,adkk,0.0008
5,kaakt,0.0008
5,adtdt,0.0008
5,tdtt,0.0008
5,kgkt,0.0008
5,tkktt,0.0008
5,dagk,0.0008
5,gada,0.0008
5,kaka,0.0008
5,dkgt,0.0008
5,kadat,0.0008
5,kddgt,0.0008
5,ttgk,0.0008
5,gatt,0.0008
5,dkaka,0.0008
5,tgta,0.0008
5,kdkkt,0.0008
5,kdgdt,0.0008
5,tktat,0.0008
5,kakkt,0.0008
5,dakkt,0.0008
5,agka,0.0008
5,ggkak,0.0008
5,agtk,0.0008
5,kakk,0.0008
5,dtdat,0.0008
5,gdgk,0.0008
5,agkaa,0.0008
5,ggga,0.0008
5,tgaa,0.0008
5,tkat,0.0008
5,gdga,0.0008
5,datt,0.0008
5,kdkda,0.0008
5,kgadt,0.0008
5,taatt,0.0008
5,dtkk,0.0008
5,kagdk,0.0008
5,atdat,0.0008
5,atdt,0.0008
5,gkak,0.0008
5,agga,0.0008
5,ktka,0.0008
5,kgtdk,0.0008
5,dtkaa,0.0008
5,dagat,0.0008
5,akg,0.0008
5,kkgak,0.0008
5,dkadk,0.0008
5,kggk,0.0008
5,tadk,0.0008
5,gtak,0.0008
5,agdt,0.0008
5,atgdt,0.0008
5,agtkk,0.0008
5,datgk,0.0008
5,gagt,0.0008
5,kgadk,0.0008
5,dtak,0.0008
5,gdggk,0.0008
5,dakt,0.0008
5,kdktk,0.0008
5,ggdk,0.0008
5,kkatk,0.0008
5,kktdt,0.0008
5,dtt,0.0008
5,gaka,0.0008
5,dgkk,0.0008
5,kkkt,0.0008
5,ktta,0.0008
5,tkka,0.0008
5,tdakt,0.0008
5,gtdk,0.0008
5,kd,0.0008
5,kdtgt,0.0008
5,kkga,0.0008
5,kggkt,0.0008
5,atta,0.0008
5,adgt,0.0008
5,ttat,0.0008
5,agtdt,0.0008
5,tgdkk,0.0008
5,daat,0.0008
5,agat,0.0008
5,aatt,0.0008
5,tgdt,0.0008
5,adta,0.0008
5,datk,0.0008
5,ttdtk,0.0008
5,tga,0.0008
5,kdak,0.0008
5,dgtk,0.0008
5,kddkk,0.0008
5,dtdta,0.0008
5,gdatk,0.0008
5,tdkt,0.0008
5,akdga,0.0008
5,tagk,0.0008
5,datkt,0.0008
5,dtka,0.0008
5,dtkgk,0.0008
5,gtkdt,0.0008
5,addt,0.0008
5,gddat,0.0008
5,ttgak,0.0008
5,dtgk,0.0008
5,dddga,0.0008
5,gddt,0.0008
5,aaadk,0.0008
5,gdak,0.0008
5,gtakk,0.0008
5,gggt,0.0008
5,kttkt,0.0008
5,ddka,0.0008
5,kkadk,0.0008
5,datak,0.0008
5,tdgdt,0.0008
5,akdgt,0.0008
5,gggk,0.0008
5,kkda,0.0008
5,kkgk,0.0008
5,adkat,0.0008
5,ddttt,0.0008
5,ttgta,0.0004
5,tadta,0.0004
5,tadda,0.0004
5,kdtka,0.0004
5,tgdk,0.0004
5,tkgda,0.0004
5,gddak,0.0004
5,gdddk,0.0004
5,aagk,0.0004
5,atgt,0.0004
5,tggk,0.0004
5,kkgt,0.0004
5,ttgt,0.0004
5,gakgk,0.0004
5,gtggt,0.0004
5,kkdk,0.0004
5,kaagt,0.0004
5,atdtt,0.0004
5,aaga,0.0004
5,aadta,0.0004
5,aakat,0.0004
5,gdaka,0.0004
5,dagga,0.0004
5,tdkga,0.0004
5,tdgaa,0.0004
5,gadt,0.0004
5,kggkk,0.0004
5,kagkk,0.0004
5,ggkdt,0.0004
5,aadgt,0.0004
5,tdat,0.0004
5,tatt,0.0004
5,aatgd,0.0004
5,dakda,0.0004
5,dgdak,0.0004
5,gdkka,0.0004
5,gddta,0.0004
5,tkkat,0.0004
5,dtdgt,0.0004
5,tadga,0.0004
5,tkddk,0.0004
5,gaagt,0.0004
5,ggaak,0.0004
5,agta,0.0004
5,tddga,0.0004
5,kkgtt,0.0004
5,ktdkk,0.0004
5,gtakt,0.0004
5,gadk,0.0004
5,tkkgt,0.0004
5,dgggk,0.0004
5,dakgk,0.0004
5,gkkak,0.0004
5,ktaga,0.0004
5,ktat,0.0004
5,agtt,0.0004
5,gkdka,0.0004
5,aagt,0.0004
5,tggtk,0.0004
5,katak,0.0004
5,adgtt,0.0004
5,tgda,0.0004
5,ktktk,0.0004
5,atadk,0.0004
5,kakaa,0.0004
5,gdgta,0.0004
5,dg,0.0004
5,atkat,0.0004
5,atkgk,0.0004
5,kaadk,0.0004
5,agtka,0.0004
5,kggak,0.0004
5,kktk,0.0004
5,kdaa,0.0004
5,kddtt,0.0004
5,gktt,0.0004
5,tkgka,0.0004
5,dtagt,0.0004
5,kdtdk,0.0004
5,aakta,0.0004
5,tggda,0.0004
5,daga,0.0004
5,ddgka,0.0004
5,dtaa,0.0004
5,gddtk,0.0004
5,ddgga,0.0004
5,kkkgk,0.0004
5,dkkkk,0.0004
5,dkg,0.0004
5,tagkt,0.0004
5,kdaat,0.0004
5,dagtk,0.0004
5,agggt,0.0004
5,tgakk,0.0004
5,gatda,0.0004
5,gkdak,0.0004
5,ggkaa,0.0004
5,ktdt,0.0004
5,ktda,0.0004
5,kgtgk,0.0004
5,taata,0.0004
5,gtttt,0.0004
5,tktgt,0.0004
5,dgak,0.0004
5,atgak,0.0004
5,dgdat,0.0004
5,tgadt,0.0004
5,akgga,0.0004
5,takaa,0.0004
5,kdtkk,0.0004
5,ktdka,0.0004
5,tkaa,0.0004
5,gkdt,0.0004
5,addgt,0.0004
5,dkkat,0.0004
5,dtgak,0.0004
5,kktgt,0.0004
5,dgkdk,0.0004
5,tdga,0.0004
5,dgdkt,0.0004
5,dkgak,0.0004
5,kakdk,0.0004
5,ttkt,0.0004
5,ktaak,0.0004
5,agaa,0.0004
5,kgddt,0.0004
5,akddd,0.0004
5,akdgk,0.0004
5,kktak,0.0004
5,aggdt,0.0004
5,dakat,0.0004
5,kddgk,0.0004
5,gggta,0.0004
5,dgkkt,0.0004
5,kkgta,0.0004
5,dkaa,0.0004
5,gd,0.0004
5,akgka,0.0004
5,kaat,0.0004
5,adkga,0.0004
5,kkdkt,0.0004
5,ad,0.0004
5,gdtka,0.0004
5,ttgtt,0.0004
5,gadkk,0.0004
5,agtat,0.0004
5,ggkk,0.0004
5,dgaga,0.0004
5,atgtt,0.0004
5,dtgda,0.0004
5,dktg,0.0004
5,ttkak,0.0004
5,aatk,0.0004
5,takat,0.0004
5,adatt,0.0004
5,kktaa,0.0004
5,kgkdt,0.0004
5,adktk,0.0004
5,datga,0.0004
5,kttgt,0.0004
5,dadga,0.0004
5,kktkk,0.0004
5,aaddk,0.0004
5,kdta,0.0004
5,aatkg,0.0004
5,atttk,0.0004
5,aktak,0.0004
5,aakaa,0.0004
5,gakta,0.0004
5,ddkt,0.0004
5,dkktt,0.0004
5,tkak,0.0004
5,kktat,0.0004
5,ktttk,0.0004
5,ggtat,0.0004
5,dtttt,0.0004
5,gagda,0.0004
5,gtkdg,0.0004
5,kdkdk,0.0004
5,tdkak,0.0004
5,ktdtk,0.0004
5,aaaat,0.0004
5,tdgta,0.0004
5,akdd,0.0004
5,tkkka,0.0004
5,daaa,0.0004
5,gatgk,0.0004
5,tkgk,0.0004
5,gtgk,0.0004
5,dtat,0.0004
5,adggk,0.0004
5,ggatk,0.0004
5,agkt,0.0004
5,adgak,0.0004
5,kgggt,0.0004
5,ag,0.0004
5,attk,0.0004
5,kkgdt,0.0004
5,ddda,0.0004
5,dgdtg,0.0004
5,adgkk,0.0004
5,ggka,0.0004
5,tatgk,0.0004
5,agdk,0.0004
5,gttat,0.0004
5,tktta,0.0004
5,aatkk,0.0004
5,gatdk,0.0004
5,ggkt,0.0004
5,kkdt,0.0004
5,dkgtk,0.0004
5,gtktk,0.0004
5,akadk,0.0004
5,kaddk,0.0004
5,gdaak,0.0004
5,gdgdk,0.0004
5,dtdak,0.0004
5,gatkk,0.0004
5,ddkgk,0.0004
5,adtkt,0.0004
5,addtt,0.0004
5,tgtdt,0.0004
5,dttda,0.0004
5,gdagk,0.0004
5,kgagk,0.0004
5,gakak,0.0004
5,tgkkt,0.0004
5,ggkat,0.0004
