1,kak,1
2,pap,1
1:2:A,kakpapa,1
3,kak,1
4,pap,1
3:4:A,kakpapa,1
5,kak,1
6,pap,1
5:6:A,kakpapa,1
7,kak,1
8,pap,1
7:8:A,kakpapa,1
9,kak,1
10,pap,1
9:10:A,kakpapa,1
11,kak,1
12,pap,1
11:12:A,kakpapa,1
13,kak,1
14,pap,1
13:14:A,kakpapa,1
15,kak,1
16,pap,1
15:16:A,kakpapa,1
17,kak,1
18,pap,1
17:18:A,kakpapa,1
19,kak,1
20,pap,1
19:20:A,kakpapa,1
21,kak,1
22,pap,1
21:22:A,kakpapa,1
23,kaki,1
24,apap,1
23:24:A,kakapapa,1
25,kaki,1
26,apap,1
25:26:A,kakapapa,1
27,kat,1
28,ipap,1
27:28:A,kacipapa,1
29,kat,1
30,ipap,1
29:30:A,kacipapa,1
31,kap,1
32,pak,1
31:32:A,,1
33,kapi,1
34,akak,1
33:34:A,,1
35,kapi,0.5
36,akak,0.5
35:36:A,,0.5
37,pat,1
38,ikak,1
37:38:A,,1
39,pat,0.5
40,ikak,0.5
39:40:A,,0.5
41,pata,1
42,ipak,1
41:42:A,,1
43,pata,1
44,ipak,1
43:44:A,,1
45,pata,1
46,ipak,1
45:46:A,,1
