1,PROTO.1.1:2:A,.:1.:1
2,PROTO.2.1:2:A,.:1.:1
3,PROTO.3.3:4:A,.:1.:1
4,PROTO.4.3:4:A,.:1.:1
5,PROTO.5.5:6:A,.:1.:1
6,PROTO.6.5:6:A,.:1.:1
7,PROTO.7.7:8:A,.:1.:1
8,PROTO.8.7:8:A,.:1.:1
9,PROTO.9.9:10:A,.:1.:1
10,PROTO.10.9:10:A,.:1.:1
11,PROTO.11.11:12:A,.:1.:1
12,PROTO.12.11:12:A,.:1.:1
13,PROTO.13.13:14:A,.:1.:1
14,PROTO.14.13:14:A,.:1.:1
15,PROTO.15.15:16:A,.:1.:1
16,PROTO.16.15:16:A,.:1.:1
17,PROTO.17.17:18:A,.:1.:1
18,PROTO.18.17:18:A,.:1.:1
19,PROTO.19.19:20:A,.:1.:1
20,PROTO.20.19:20:A,.:1.:1
21,PROTO.21.21:22:A,.:1.:1
22,PROTO.22.21:22:A,.:1.:1
23,PROTO.23.23:24:A,.:1.:1
24,PROTO.24.23:24:A,.:1.:1
25,PROTO.25.25:26:A,.:1.:1
26,PROTO.26.25:26:A,.:1.:1
27,PROTO.27.27:28:A,.:1.:1
28,PROTO.28.27:28:A,.:1.:1
29,PROTO.29.29:30:A,.:1.:1
30,PROTO.30.29:30:A,.:1.:1
31,PROTO.31.31:32:A,.:1.:1
32,PROTO.32.31:32:A,.:1.:1
33,PROTO.33.33:34:A,.:1.:1
34,PROTO.34.33:34:A,.:1.:1
35,PROTO.35.35:36:A,.:1.:1
36,PROTO.36.35:36:A,.:1.:1
37,PROTO.37.37:38:A,.:1.:1
38,PROTO.38.37:38:A,.:1.:1
39,PROTO.39.39:40:A,.:1.:1
40,PROTO.40.39:40:A,.:1.:1
41,PROTO.41.41:42:A,.:1.:1
42,PROTO.42.41:42:A,.:1.:1
43,PROTO.43.43:44:A,.:1.:1
44,PROTO.44.43:44:A,.:1.:1
45,PROTO.45.45:46:A,.:1.:1
46,PROTO.46.45:46:A,.:1.:1
A,PROTO.1:2:A.3:4:A.5:6:A.7:8:A.9:10:A.11:12:A.13:14:A.15:16:A.17:18:A.19:20:A.21:22:A.23:24:A.25:26:A.27:28:A.29:30:A.31:32:A.33:34:A.35:36:A.37:38:A.39:40:A.41:42:A.43:44:A.45:46:A,.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1.:1
