clx,pred_sr,prob
1,tak,0.8848
1,ak,0.0284
1,ta,0.0272
1,tk,0.024
1,tat,0.0048
1,tag,0.004
1,taa,0.0036
1,gak,0.0032
1,ttk,0.0028
1,tgk,0.0024
1,tkk,0.0024
1,kak,0.002
1,tdk,0.0012
1,tt,0.0008
1,k,0.0008
1,ag,0.0008
1,dak,0.0008
1,aak,0.0008
1,a,0.0008
1,tad,0.0004
1,ktak,0.0004
1,ttak,0.0004
1,dtak,0.0004
1,tkak,0.0004
1,taga,0.0004
1,tka,0.0004
1,t,0.0004
1,at,0.0004
1,gtak,0.0004
1,tagk,0.0004
1-A,taga,0.8436
1-A,taka,0.0448
1-A,aga,0.0284
1-A,taa,0.0272
1-A,tga,0.0212
1-A,tada,0.0044
1-A,taaa,0.0036
1-A,gaga,0.0028
1-A,ttga,0.0028
1-A,tgga,0.0024
1-A,tkga,0.0024
1-A,tka,0.0024
1-A,kaga,0.002
1-A,tata,0.0016
1-A,tdga,0.0012
1-A,ga,0.0008
1-A,daga,0.0008
1-A,ta,0.0008
1-A,aaga,0.0008
1-A,aa,0.0008
1-A,aka,0.0008
1-A,tda,0.0004
1-A,ktaga,0.0004
1-A,ttaga,0.0004
1-A,tta,0.0004
1-A,dtaga,0.0004
1-A,tkaga,0.0004
1-A,tagaa,0.0004
1-A,tkaa,0.0004
1-A,ata,0.0004
1-A,gtaga,0.0004
1-A,tagga,0.0004
2,tak,0.8572
2,ta,0.0396
2,tk,0.0384
2,ak,0.0204
2,tat,0.0064
2,tkk,0.0048
2,tdk,0.0036
2,kak,0.0032
2,tgk,0.0028
2,taa,0.0028
2,ttk,0.0024
2,aak,0.0024
2,gak,0.002
2,dak,0.0016
2,t,0.0016
2,tkak,0.0012
2,k,0.0012
2,ga,0.0008
2,takk,0.0008
2,taka,0.0008
2,takt,0.0004
2,tt,0.0004
2,gtak,0.0004
2,taak,0.0004
2,kk,0.0004
2,tatk,0.0004
2,a,0.0004
2,tadk,0.0004
2,daa,0.0004
2,tdak,0.0004
2,tagk,0.0004
2,ktk,0.0004
2,ad,0.0004
2,tka,0.0004
2,ktak,0.0004
2-A,taka,0.7532
2-A,taga,0.1036
2-A,taa,0.0404
2-A,tka,0.0372
2-A,aka,0.0172
2-A,tada,0.0052
2-A,tkka,0.0044
2-A,tdka,0.0036
2-A,kaka,0.0032
2-A,aga,0.0028
2-A,taaa,0.0028
2-A,tgka,0.0024
2-A,aaka,0.0024
2-A,ttka,0.002
2-A,gaka,0.002
2-A,daka,0.0016
2-A,ka,0.0016
2-A,tkaka,0.0012
2-A,tata,0.0012
2-A,tga,0.0008
2-A,gaa,0.0008
2-A,ta,0.0008
2-A,takaa,0.0008
2-A,takda,0.0004
2-A,tta,0.0004
2-A,gtaka,0.0004
2-A,taaga,0.0004
2-A,kka,0.0004
2-A,tatka,0.0004
2-A,aa,0.0004
2-A,tadka,0.0004
2-A,daaa,0.0004
2-A,takka,0.0004
2-A,takta,0.0004
2-A,ttga,0.0004
2-A,tdaka,0.0004
2-A,tagka,0.0004
2-A,ktka,0.0004
2-A,takga,0.0004
2-A,da,0.0004
2-A,ada,0.0004
2-A,tkaa,0.0004
2-A,kaga,0.0004
2-A,tkga,0.0004
2-A,ktaka,0.0004
3,tat,0.8908
3,at,0.026
3,ta,0.0232
3,tt,0.02
3,dat,0.0052
3,tad,0.0052
3,tak,0.0048
3,aat,0.004
3,kat,0.0036
3,tdt,0.002
3,taa,0.002
3,tgt,0.002
3,tkt,0.0016
3,gat,0.0012
3,takt,0.0012
3,ttt,0.0012
3,t,0.0008
3,atat,0.0004
3,ktat,0.0004
3,tag,0.0004
3,kad,0.0004
3,gdt,0.0004
3,,0.0004
3,gad,0.0004
3,ttat,0.0004
3,tgd,0.0004
3,tkat,0.0004
3,tgk,0.0004
3,tk,0.0004
3,gtgt,0.0004
3-A,tada,0.8584
3-A,tata,0.0384
3-A,ada,0.0248
3-A,taa,0.0212
3-A,tda,0.0188
3-A,dada,0.0052
3-A,kada,0.004
3-A,aada,0.0036
3-A,taka,0.0028
3-A,taga,0.0028
3-A,tdda,0.002
3-A,taaa,0.002
3-A,tgda,0.002
3-A,gada,0.0016
3-A,ata,0.0016
3-A,tkda,0.0016
3-A,takda,0.0012
3-A,ttda,0.0012
3-A,tta,0.0008
3-A,atada,0.0004
3-A,tkada,0.0004
3-A,ta,0.0004
3-A,ktada,0.0004
3-A,aa,0.0004
3-A,ttta,0.0004
3-A,gdda,0.0004
3-A,a,0.0004
3-A,ttada,0.0004
3-A,tkata,0.0004
3-A,tgka,0.0004
3-A,da,0.0004
3-A,tga,0.0004
3-A,aata,0.0004
3-A,gtgda,0.0004
4,tat,0.8608
4,tt,0.042
4,ta,0.0356
4,at,0.0232
4,ttt,0.0056
4,tak,0.004
4,tkt,0.0036
4,tdt,0.0032
4,kat,0.0032
4,t,0.0028
4,tgt,0.0024
4,taa,0.002
4,dat,0.002
4,aat,0.0016
4,gat,0.0012
4,tatk,0.0012
4,a,0.0008
4,tatt,0.0008
4,tadt,0.0008
4,taat,0.0008
4,gt,0.0004
4,gtat,0.0004
4,tk,0.0004
4,takt,0.0004
4,tad,0.0004
4,kaa,0.0004
4-A,tata,0.754
4-A,tada,0.1068
4-A,tta,0.0388
4-A,taa,0.0364
4-A,ata,0.0208
4-A,ttta,0.0056
4-A,taga,0.0036
4-A,tkta,0.0036
4-A,tda,0.0028
4-A,kata,0.0028
4-A,ada,0.0028
4-A,tdta,0.0024
4-A,tgta,0.0024
4-A,taaa,0.002
4-A,ta,0.0016
4-A,aata,0.0016
4-A,gata,0.0012
4-A,data,0.0012
4-A,aa,0.0008
4-A,dada,0.0008
4-A,tdda,0.0008
4-A,tatga,0.0008
4-A,tadta,0.0008
4-A,taata,0.0008
4-A,gta,0.0004
4-A,gtata,0.0004
4-A,taka,0.0004
4-A,tga,0.0004
4-A,tatk,0.0004
4-A,tatda,0.0004
4-A,ttda,0.0004
4-A,takta,0.0004
4-A,tatka,0.0004
4-A,kaaa,0.0004
4-A,kada,0.0004
4-A,tatta,0.0004
5,kak,0.228
5,k,0.1108
5,ak,0.1084
5,ka,0.1064
5,kk,0.094
5,a,0.0548
5,,0.0368
5,kat,0.022
5,ktk,0.016
5,aak,0.012
5,kkk,0.012
5,dak,0.0112
5,at,0.0112
5,gak,0.0112
5,tak,0.0108
5,kdk,0.0104
5,kt,0.01
5,kaa,0.0092
5,kgk,0.0076
5,t,0.0072
5,dk,0.0056
5,da,0.0056
5,ta,0.0044
5,tk,0.0044
5,gk,0.004
5,kag,0.004
5,aa,0.0032
5,akak,0.0032
5,ga,0.0028
5,kdak,0.0028
5,agk,0.0028
5,kagk,0.0024
5,ktak,0.0024
5,gkak,0.0024
5,kg,0.0024
5,dat,0.002
5,kagt,0.002
5,katk,0.002
5,dkk,0.002
5,dkak,0.002
5,ag,0.002
5,kkt,0.0016
5,kdt,0.0016
5,tkk,0.0016
5,kaga,0.0016
5,kkak,0.0016
5,dgk,0.0016
5,kgak,0.0012
5,aat,0.0012
5,ktt,0.0012
5,tt,0.0012
5,kadk,0.0012
5,kgt,0.0012
5,gka,0.0012
5,gat,0.0008
5,daa,0.0008
5,ttt,0.0008
5,kga,0.0008
5,kka,0.0008
5,kta,0.0008
5,tkak,0.0008
5,tgk,0.0008
5,dtk,0.0008
5,gt,0.0008
5,ktg,0.0008
5,kgat,0.0008
5,taa,0.0008
5,kaak,0.0008
5,kaat,0.0004
5,atk,0.0004
5,adk,0.0004
5,ggk,0.0004
5,tdat,0.0004
5,g,0.0004
5,daak,0.0004
5,gdak,0.0004
5,aag,0.0004
5,dka,0.0004
5,kkkak,0.0004
5,ktag,0.0004
5,ktta,0.0004
5,ddk,0.0004
5,dgt,0.0004
5,kakdk,0.0004
5,kgtak,0.0004
5,ggt,0.0004
5,akdk,0.0004
5,agt,0.0004
5,kda,0.0004
5,aka,0.0004
5,gaak,0.0004
5,kkaa,0.0004
5,tadk,0.0004
5,kdagk,0.0004
5,takk,0.0004
5,akt,0.0004
5,tdk,0.0004
5,tat,0.0004
5,kdgk,0.0004
5,kgg,0.0004
5,tkaa,0.0004
5,atak,0.0004
5,tdg,0.0004
5,kkadk,0.0004
5,kdg,0.0004
5,kgd,0.0004
5,katgt,0.0004
5,kakk,0.0004
5,kd,0.0004
5-A,kaga,0.2268
5-A,aga,0.1092
5-A,kaa,0.1072
5-A,kga,0.0932
5-A,ga,0.0572
5-A,ka,0.056
5-A,aa,0.0536
5-A,a,0.0316
5-A,ktga,0.0168
5-A,aaga,0.0128
5-A,daga,0.0116
5-A,kata,0.0116
5-A,kkga,0.0112
5-A,kada,0.0108
5-A,taga,0.0104
5-A,gaga,0.01
5-A,kdga,0.0096
5-A,kaaa,0.0092
5-A,kgga,0.0084
5-A,kta,0.008
5-A,kaka,0.0076
5-A,ada,0.006
5-A,daa,0.0056
5-A,dga,0.0052
5-A,aka,0.0048
5-A,ata,0.0048
5-A,tga,0.0044
5-A,taa,0.004
5-A,kda,0.0036
5-A,ta,0.0036
5-A,aaa,0.0032
5-A,gga,0.0032
5-A,gaa,0.0028
5-A,ktaga,0.0028
5-A,akaga,0.0028
5-A,da,0.0028
5-A,kdaga,0.0028
5-A,kka,0.0028
5-A,gkaga,0.0024
5-A,dkaga,0.0024
5-A,kagga,0.002
