,cons,son,lab,cor,dist,voi,nas,lat,back,hi,lo
t,1,-1,-1,1,-1,-1,-1,-1,0,0,0
c,1,-1,-1,1,1,-1,-1,-1,0,0,0
p,1,-1,1,-1,0,-1,-1,-1,0,0,0
k,1,-1,-1,-1,0,-1,-1,-1,1,1,-1
a,-1,1,1,-1,0,1,-1,-1,-1,-1,1
i,-1,1,1,-1,0,1,-1,-1,-1,1,-1
#,0,0,0,0,0,0,0,0,0,0,0
