,cons,son,lab,cor,dist,voi,nas,lat,back,hi,lo
t,1,-1,-1,1,-1,-1,-1,-1,0,0,0
c,1,-1,-1,1,1,-1,-1,-1,0,0,0
d,1,-1,-1,1,-1,1,-1,-1,0,0,0
j,1,-1,-1,1,1,1,-1,-1,0,0,0
k,1,-1,-1,-1,0,-1,-1,-1,1,1,-1
g,1,-1,-1,-1,0,1,-1,-1,1,1,-1
m,1,1,1,-1,0,1,1,-1,0,0,0
n,1,1,-1,1,-1,1,1,-1,0,0,0
l,1,1,-1,1,-1,1,-1,1,0,0,0
a,-1,1,1,-1,0,1,-1,-1,-1,-1,1
i,-1,1,1,-1,0,1,-1,-1,-1,1,-1
u,-1,1,1,-1,0,1,-1,-1,1,1,-1
#,0,0,0,0,0,0,0,0,0,0,0
