,cons,son,lab,cor,dors,nas,lat,back,hi,lo
k,1,-1,-1,-1,1,-1,-1,1,1,-1
m,1,1,1,-1,-1,1,-1,0,0,0
z,1,-1,-1,1,-1,-1,-1,0,0,0
l,1,1,-1,1,-1,-1,1,0,0,0
a,-1,1,-1,-1,1,-1,-1,-1,-1,1
i,-1,1,-1,-1,1,-1,-1,-1,1,-1
e,-1,1,-1,-1,1,-1,-1,-1,-1,-1
#,0,0,0,0,0,0,0,0,0,0
