clx,pred_sr,prob
1,tak,0.9576
1,tk,0.0088
1,ta,0.0084
1,ak,0.0076
1,tat,0.0024
1,dak,0.002
1,aak,0.002
1,taa,0.0016
1,gak,0.0012
1,kak,0.0012
1,tdk,0.0008
1,tgk,0.0008
1,ttk,0.0008
1,tag,0.0008
1,tagk,0.0004
1,gtkak,0.0004
1,tadk,0.0004
1,ktak,0.0004
1,taak,0.0004
1,atak,0.0004
1,ttak,0.0004
1,tad,0.0004
1,tgak,0.0004
1,takg,0.0004
1-A,taga,0.94
1-A,taa,0.0104
1-A,tga,0.0084
1-A,taka,0.0068
1-A,aga,0.0056
1-A,tada,0.0036
1-A,aaga,0.0024
1-A,taaa,0.002
1-A,daga,0.002
1-A,tkga,0.002
1-A,tata,0.0016
1-A,takga,0.0016
1-A,tagak,0.0012
1-A,ttga,0.0012
1-A,tagga,0.0012
1-A,gaga,0.0012
1-A,tkaga,0.0008
1-A,tgaga,0.0008
1-A,taaga,0.0008
1-A,tagaa,0.0008
1-A,tagat,0.0004
1-A,tgga,0.0004
1-A,dtaga,0.0004
1-A,ttaga,0.0004
1-A,kaga,0.0004
1-A,tadga,0.0004
1-A,ktaga,0.0004
1-A,tagt,0.0004
1-A,tatga,0.0004
1-A,aaa,0.0004
1-A,tda,0.0004
1-A,tdaga,0.0004
1-A,ataga,0.0004
1-A,tagk,0.0004
2,tak,0.962
2,ak,0.0076
2,tk,0.0064
2,ta,0.0056
2,tgk,0.002
2,ttk,0.0016
2,tat,0.0016
2,tkk,0.0016
2,kak,0.0016
2,takk,0.0012
2,t,0.0012
2,taak,0.0012
2,dak,0.0008
2,tdk,0.0008
2,ktak,0.0008
2,taa,0.0008
2,ttak,0.0004
2,takt,0.0004
2,taka,0.0004
2,tatk,0.0004
2,tagk,0.0004
2,gak,0.0004
2,tkak,0.0004
2,aak,0.0004
2-A,taka,0.9492
2-A,taa,0.0092
2-A,tka,0.008
2-A,taga,0.0056
2-A,tak,0.0036
2-A,tada,0.002
2-A,ttka,0.002
2-A,aka,0.0016
2-A,tagka,0.0016
2-A,takk,0.0016
2-A,daka,0.0012
2-A,takaa,0.0012
2-A,taaa,0.0012
2-A,tata,0.0012
2-A,tgka,0.0012
2-A,aaka,0.0008
2-A,takt,0.0008
2-A,takak,0.0008
2-A,kaka,0.0008
2-A,ka,0.0004
2-A,taaka,0.0004
2-A,tat,0.0004
2-A,tkak,0.0004
2-A,tkt,0.0004
2-A,takta,0.0004
2-A,ttaka,0.0004
2-A,tkka,0.0004
2-A,tdaka,0.0004
2-A,akk,0.0004
2-A,ktaka,0.0004
2-A,takat,0.0004
2-A,takda,0.0004
2-A,dtaka,0.0004
2-A,takka,0.0004
2-A,gaka,0.0004
3,tat,0.9504
3,tt,0.0096
3,ta,0.0084
3,at,0.008
3,tgt,0.0028
3,tak,0.0024
3,tdt,0.002
3,ttt,0.002
3,tkt,0.0016
3,aat,0.0016
3,tad,0.0012
3,t,0.0008
3,taa,0.0008
3,tgat,0.0008
3,tagt,0.0008
3,gat,0.0008
3,taat,0.0008
3,ttat,0.0008
3,ktat,0.0008
3,gtat,0.0004
3,takt,0.0004
3,kat,0.0004
3,tkat,0.0004
3,atat,0.0004
3,dtat,0.0004
3,tatt,0.0004
3,dat,0.0004
3,tadt,0.0004
3-A,tada,0.93
3-A,taa,0.0132
3-A,tda,0.0104
3-A,tata,0.0092
3-A,ada,0.0064
3-A,ttda,0.0024
3-A,taka,0.002
3-A,gada,0.002
3-A,taga,0.002
