clx,pred_sr,prob
1,ikik,0.192
1,iki,0.10253333333333334
1,ikk,0.08626666666666667
1,kik,0.08186666666666667
1,ki,0.0504
1,ik,0.0492
1,kk,0.04173333333333333
1,i,0.031733333333333336
1,k,0.021333333333333333
1,ikit,0.019733333333333332
1,icik,0.0192
1,iik,0.016666666666666666
1,,0.0144
1,iktk,0.0128
1,tkik,0.0112
1,akik,0.010666666666666666
1,ikak,0.010133333333333333
1,kkik,0.009333333333333334
1,kit,0.0092
1,ici,0.008933333333333333
1,ii,0.008133333333333333
1,ikkk,0.008133333333333333
1,ikt,0.008
1,cik,0.007733333333333333
1,itk,0.007333333333333333
1,it,0.006266666666666667
1,aki,0.006
1,ika,0.005333333333333333
1,tki,0.005066666666666666
1,ktk,0.005066666666666666
1,akk,0.004533333333333334
1,tkk,0.004533333333333334
1,kki,0.004533333333333334
1,kt,0.0044
1,ci,0.004266666666666667
1,kak,0.0041333333333333335
1,kkk,0.0032
1,ikck,0.0030666666666666668
1,ckik,0.0028
1,tk,0.0028
1,ka,0.002533333333333333
1,t,0.002533333333333333
1,ick,0.0024
1,ak,0.002266666666666667
1,iit,0.0021333333333333334
1,ikia,0.002
1,itik,0.0018666666666666666
1,itki,0.0017333333333333333
1,ikitk,0.0017333333333333333
1,iktt,0.0016
1,ikcik,0.0016
1,ikci,0.0016
1,ikta,0.0014666666666666667
1,ciki,0.0013333333333333333
1,ikat,0.0013333333333333333
1,ckk,0.0013333333333333333
1,ikkik,0.0013333333333333333
1,kika,0.0013333333333333333
1,cki,0.0013333333333333333
1,icit,0.0012
1,tkt,0.0012
1,ikika,0.0012
1,ikii,0.0012
1,kia,0.0010666666666666667
1,ikikk,0.0010666666666666667
1,ikikt,0.0010666666666666667
1,ittk,0.0010666666666666667
1,tkak,0.0010666666666666667
1,aci,0.0010666666666666667
1,cikik,0.0010666666666666667
1,kck,0.0010666666666666667
1,tkit,0.0009333333333333333
1,kkit,0.0009333333333333333
1,itkik,0.0009333333333333333
1,tcik,0.0009333333333333333
1,cikk,0.0009333333333333333
1,kii,0.0009333333333333333
1,kitk,0.0009333333333333333
1,a,0.0009333333333333333
1,iak,0.0009333333333333333
1,ikkt,0.0008
1,akkk,0.0008
1,akit,0.0008
1,ck,0.0008
1,ikiki,0.0008
1,tkkk,0.0008
1,tktk,0.0008
1,itt,0.0006666666666666666
1,itkk,0.0006666666666666666
1,cit,0.0006666666666666666
1,iti,0.0006666666666666666
1,aka,0.0006666666666666666
1,ccik,0.0005333333333333334
1,tci,0.0005333333333333334
1,acik,0.0005333333333333334
1,tka,0.0005333333333333334
1,ica,0.0005333333333333334
1,kkak,0.0005333333333333334
1,akia,0.0005333333333333334
1,kikik,0.0005333333333333334
1,ktt,0.0005333333333333334
1,icikt,0.0005333333333333334
1,ikki,0.0005333333333333334
1,kikt,0.0005333333333333334
1,aktk,0.0005333333333333334
1,icck,0.0005333333333333334
1,kat,0.0004
1,ckck,0.0004
1,iikt,0.0004
1,ttk,0.0004
1,ikka,0.0004
1,kikk,0.0004
1,akii,0.0004
1,aik,0.0004
1,kktk,0.0004
1,ict,0.0004
1,iiki,0.0002666666666666667
1,at,0.0002666666666666667
1,ckit,0.0002666666666666667
1,tktt,0.0002666666666666667
1,ia,0.0002666666666666667
1,kiki,0.0002666666666666667
1,icki,0.0002666666666666667
1,ckia,0.0002666666666666667
1,ai,0.0002666666666666667
1,tt,0.0002666666666666667
1,ikick,0.0002666666666666667
1,tkia,0.0002666666666666667
1,ikaka,0.0002666666666666667
1,ikct,0.0002666666666666667
1,itkkk,0.0002666666666666667
1,cci,0.0002666666666666667
1,tik,0.0002666666666666667
1,kkia,0.0002666666666666667
1,akak,0.0002666666666666667
1,akt,0.0002666666666666667
1,iick,0.0002666666666666667
1,kcik,0.0002666666666666667
1,ack,0.0002666666666666667
1,itktk,0.0002666666666666667
1,ckt,0.0002666666666666667
1,att,0.0002666666666666667
1,cikit,0.0002666666666666667
1,kkkk,0.0002666666666666667
1,tkiki,0.00013333333333333334
