clx,pred_sr,prob
1,tak,1.0
1-A,taga,0.9736
1-A,taka,0.0264
2,tak,1.0
2-A,taka,1.0
3,tat,1.0
3-A,tada,1.0
4,tat,0.9884
4,tkt,0.0116
4-A,tata,0.9888
4-A,tkta,0.0112
5,kak,0.4576
5,kk,0.188
5,ka,0.1812
5,ak,0.1096
5,a,0.0292
5,aga,0.016
5,k,0.0056
5,agk,0.0012
5,tak,0.0008
5,gak,0.0008
5,kaa,0.0008
5,kdk,0.0008
5,kagk,0.0008
5,aak,0.0008
5,kat,0.0008
5,ktk,0.0008
5,aa,0.0008
5,kga,0.0004
5,tk,0.0004
5,gk,0.0004
5,agt,0.0004
5,t,0.0004
5,kdak,0.0004
5,kagt,0.0004
5,kakk,0.0004
5,katk,0.0004
5,akak,0.0004
5,tka,0.0004
5-A,kaga,0.4908
5-A,kga,0.1776
5-A,kaa,0.1732
5-A,aga,0.1108
5-A,aa,0.0264
5-A,agaa,0.016
5-A,ga,0.0052
6,kat,0.9624
6,kdt,0.0104
6,ktt,0.0088
6,gat,0.0052
6,kadk,0.0016
6,kdat,0.0012
6,akat,0.0012
6,at,0.0012
6,kaa,0.0008
6,kkat,0.0008
6,kagt,0.0008
6,kada,0.0008
6,tkat,0.0008
6,kgt,0.0008
6,gkat,0.0008
6,tat,0.0004
6,dat,0.0004
6,ka,0.0004
6,ktat,0.0004
6,kak,0.0004
6,dkat,0.0004
6-A,kada,0.9776
6-A,kdda,0.0092
6-A,ktda,0.0088
6-A,gada,0.0044
7,kak,0.6516
7,ka,0.1044
7,kkk,0.0692
7,kk,0.0464
7,ak,0.0388
7,ktk,0.0376
7,kat,0.0228
7,kgk,0.0136
7,atk,0.0028
7,at,0.0012
7,kdk,0.0012
7,kagk,0.0008
7,kadk,0.0008
7,tk,0.0008
7,aa,0.0008
7,kakk,0.0004
7,kaak,0.0004
7,kta,0.0004
7,kakt,0.0004
7,gkak,0.0004
7,kkak,0.0004
7,kata,0.0004
7,kgat,0.0004
7,ktkk,0.0004
7,kkdk,0.0004
7,gak,0.0004
7,k,0.0004
7,akt,0.0004
7,aktk,0.0004
7,akak,0.0004
7,kktk,0.0004
7,gktk,0.0004
7,tkak,0.0004
7-A,kaka,0.672
7-A,kaa,0.1028
7-A,kkka,0.0684
7-A,kka,0.044
7-A,ktka,0.0376
7-A,aka,0.0356
7-A,kata,0.0236
7-A,kgka,0.0128
7-A,atka,0.0024
7-A,kkaka,0.0004
7-A,aaka,0.0004
8,kat,0.5656
8,at,0.0952
8,kt,0.0872
8,ka,0.08
8,t,0.0392
8,a,0.0324
8,k,0.032
8,tat,0.0296
8,kak,0.0288
8,kaa,0.0008
8,tt,0.0008
8,att,0.0008
8,ak,0.0008
8,,0.0008
8,kakt,0.0004
8,aat,0.0004
8,kdt,0.0004
8,kadt,0.0004
8,gkat,0.0004
8,kgat,0.0004
8,ktt,0.0004
8,gat,0.0004
8,kgt,0.0004
8,atk,0.0004
8,kkat,0.0004
8,kda,0.0004
8,gkt,0.0004
8,kk,0.0004
8,gt,0.0004
8-A,kata,0.5808
8-A,ata,0.0948
8-A,kta,0.088
8-A,kaa,0.084
8-A,ta,0.0384
8-A,tata,0.0284
8-A,kaka,0.0284
8-A,aa,0.028
8-A,ka,0.0244
8-A,kat,0.0044
8-A,aata,0.0004
